Occurred On (NT),Cleared On (NT),MO Name,Name
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURSCL0499, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURPBL0497, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURPNC1681, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURGDV0471, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURLRD0491, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURGDV0470, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURCNM0429, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURCNM0432, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURCNM0430, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURCNM0431, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:31,01/01/2025 12:32,"NodeB Name=DURLRD0492, LogicRNCID=140",NodeB Unavailable
01/01/2025 12:51,01/01/2025 12:57,"NodeB Name=DURLRD0487, LogicRNCID=140",NodeB Unavailable
01/01/2025 13:09,01/01/2025 13:13,"NodeB Name=COATOR1153, LogicRNCID=140",NodeB Unavailable
01/01/2025 13:50,01/01/2025 13:56,"NodeB Name=GUALEO0431, LogicRNCID=160",NodeB Unavailable
01/01/2025 14:02,01/01/2025 14:06,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
01/01/2025 14:49,01/01/2025 16:22,"NodeB Name=TAMALT1020, LogicRNCID=141",NodeB Unavailable
01/01/2025 15:01,01/01/2025 16:58,"NodeB Name=QTOQTO1374, LogicRNCID=162",NodeB Unavailable
01/01/2025 15:24,01/01/2025 15:33,"NodeB Name=ZACZAC1593, LogicRNCID=160",NodeB Unavailable
01/01/2025 15:24,01/01/2025 15:33,"NodeB Name=ZACZAC1596, LogicRNCID=160",NodeB Unavailable
01/01/2025 17:52,01/01/2025 17:53,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
